pipeline_id,combination,stage,tool_name,cache_key,duration_sec,status,output_path
50b44be3bbf62a3d,comb_001,during_training,in-noop,14b24de42d6a095ae3727244a8de42c22b668003ed7e1fcc980858ccd55c6634,688.39,success,/share/landseer/workspace-ayushi/Landseer/cache/50b44be3bbf62a3d/14b24de42d6a095ae3727244a8de42c22b668003ed7e1fcc980858ccd55c6634/output
50b44be3bbf62a3d,comb_002,during_training,in-noop,dc11c6d4acee25a32ba7d056d2962bdc52eb380c9c3fd72b8673c1e5a94b7822,690.75,success,/share/landseer/workspace-ayushi/Landseer/cache/50b44be3bbf62a3d/dc11c6d4acee25a32ba7d056d2962bdc52eb380c9c3fd72b8673c1e5a94b7822/output
50b44be3bbf62a3d,comb_001,post_training,post-fineprune,68cc8dcd63f5b1aa3e732075bb2aeb5d72957d070c5045d0f66d229150111576,5.53,success,/share/landseer/workspace-ayushi/Landseer/cache/50b44be3bbf62a3d/68cc8dcd63f5b1aa3e732075bb2aeb5d72957d070c5045d0f66d229150111576/output
50b44be3bbf62a3d,comb_003,post_training,post-fineprune,62b9155a30ae8ba26019b9962a21f9fa2b384c9f1e705c7ec54688e81348bdc0,6.38,success,/share/landseer/workspace-ayushi/Landseer/cache/50b44be3bbf62a3d/62b9155a30ae8ba26019b9962a21f9fa2b384c9f1e705c7ec54688e81348bdc0/output
