pipeline_id,combination,pre_training,in_training,post_training,dataset_name,dataset_type,acc_train_clean,acc_test_clean,acc_robust,ood_auc,fingerprinting,asr,total_duration
08e4b92f303f606c,comb_000,['noop'],['in_noop'],[],cifar10,clean,0.9979,0.8439,0.0000,0.8176,0.8439,0.0934,0.49
08e4b92f303f606c,comb_002,['noop'],['trades'],[],cifar10,clean,0.9986,0.7787,0.3227,0.7006,0.7787,0.1074,0.41
08e4b92f303f606c,comb_004,['feature-squeeze'],['in_noop'],[],cifar10,clean,0.9892,0.8344,0.0000,0.7446,0.8344,0.1106,0.36
08e4b92f303f606c,comb_003,['noop'],['trades'],['fine pruning'],cifar10,clean,0.8702,0.6329,0.2888,0.6122,0.6329,0.0723,0.61
08e4b92f303f606c,comb_001,['noop'],['in_noop'],['fine pruning'],cifar10,clean,0.8856,0.7208,0.0000,0.6669,0.7208,0.0567,0.57
08e4b92f303f606c,comb_005,['feature-squeeze'],['in_noop'],['fine pruning'],cifar10,clean,0.8256,0.6719,0.0000,0.7918,0.6719,0.0468,0.56
08e4b92f303f606c,comb_006,['feature-squeeze'],['trades'],[],cifar10,clean,0.9987,0.7733,0.3192,0.5331,0.7733,0.1017,0.45
08e4b92f303f606c,comb_007,['feature-squeeze'],['trades'],['fine pruning'],cifar10,clean,0.7238,0.4799,0.2068,0.3249,0.4799,0.0116,0.55
