pipeline_id,combination,stage,tool_name,cache_key,duration_sec,status,output_path
361f588eea155d23,comb_003,pre_training,pre-squeeze,03d7a3ee1c2afe48383b2f8cd2e9de5678d075c6cd6d81fca80343ebb981d479,2.59,success,/share/landseer/workspace-ayushi/Landseer/cache/361f588eea155d23/03d7a3ee1c2afe48383b2f8cd2e9de5678d075c6cd6d81fca80343ebb981d479/output
361f588eea155d23,comb_002,during_training,in-noop,56b7e233d1bf42db024e07e6aa06fc2c8b3abbde3329c9e3f55d5dcea830e433,0.00,failure,cache/361f588eea155d23/03d7a3ee1c2afe48383b2f8cd2e9de5678d075c6cd6d81fca80343ebb981d479/output
361f588eea155d23,comb_003,during_training,in-noop,3f36804c0f967a720d4bd9be320d185b80ba7be5599bb2ab2d393ae629668ac2,0.00,failure,/share/landseer/workspace-ayushi/Landseer/cache/361f588eea155d23/03d7a3ee1c2afe48383b2f8cd2e9de5678d075c6cd6d81fca80343ebb981d479/output
