pipeline_id,combination,stage,tool_name,cache_key,duration_sec,status,output_path
5213ad567575f1f7,comb_041,during_training,in_noop,3f481a93083a18d148ba4be8811fd0882ab3fa69769d140c081d3470d494a1dc,773.89,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/3f481a93083a18d148ba4be8811fd0882ab3fa69769d140c081d3470d494a1dc/output
5213ad567575f1f7,comb_042,post_training,fine pruning,6f4329c02a4ac7d944b9e28ef975cec43302b0d3269ec4935da320b498009b3b,11.96,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/6f4329c02a4ac7d944b9e28ef975cec43302b0d3269ec4935da320b498009b3b/output
5213ad567575f1f7,comb_040,post_training,fine pruning,fc2249d5cfa1b564a3f37ba53f4063e6b8cd14b2038d3f35874b3760fd60178d,12.29,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/fc2249d5cfa1b564a3f37ba53f4063e6b8cd14b2038d3f35874b3760fd60178d/output
5213ad567575f1f7,comb_041,post_training,post_dp,6934656642267b9ef7426d086e35dc43eb44cc7247fabd41394e353d1efdcfcd,505.62,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/6934656642267b9ef7426d086e35dc43eb44cc7247fabd41394e353d1efdcfcd/output
5213ad567575f1f7,comb_043,post_training,post_dp,217eaf8a067762ee1af75c027aa7de3349a74f1e261f0483115362e4e4f01e51,506.13,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/217eaf8a067762ee1af75c027aa7de3349a74f1e261f0483115362e4e4f01e51/output
5213ad567575f1f7,comb_042,post_training,post_dp,b9873bc6dd7e67353bd1aee971bf528fbe0eb75c47e361304e18263e2d473c63,494.08,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/b9873bc6dd7e67353bd1aee971bf528fbe0eb75c47e361304e18263e2d473c63/output
5213ad567575f1f7,comb_043,post_training,fine pruning,52a4db4f3d37c89a1133ff314d3fc0cfb23c5c142a0ec2830c62ad4024770468,16.97,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/52a4db4f3d37c89a1133ff314d3fc0cfb23c5c142a0ec2830c62ad4024770468/output
5213ad567575f1f7,comb_027,during_training,in_noop,37f5605d9af47258d839d575023ce4d3121e8e886b3382c87555bafc3d15c82a,1726.50,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/37f5605d9af47258d839d575023ce4d3121e8e886b3382c87555bafc3d15c82a/output
5213ad567575f1f7,comb_026,post_training,fine pruning,70dba83d890d9bc22c1fb8ae62f71acc1dd219e4a0ee4b2d2dfe24742d9e9bdb,20.94,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/70dba83d890d9bc22c1fb8ae62f71acc1dd219e4a0ee4b2d2dfe24742d9e9bdb/output
5213ad567575f1f7,comb_024,post_training,fine pruning,f6b0c3a60a1c0b3c922a1d02b7841c47ccba7b39dece4b896a5b0d51aa4a7b89,21.26,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/f6b0c3a60a1c0b3c922a1d02b7841c47ccba7b39dece4b896a5b0d51aa4a7b89/output
