pipeline_id,combination,pre_training,in_training,post_training,dataset_name,dataset_type,acc_train_clean,acc_test_clean,acc_robust,ood_auc,fingerprinting,asr,privacy_epsilon,total_duration
5213ad567575f1f7,comb_010,['pre-squeeze'],['in_noop'],['fine pruning', 'post_dp'],cifar10,clean,0.9923,0.8370,0.0011,0.7590,0.8370,0.0965,-1.0000,4.19
5213ad567575f1f7,comb_001,['noop'],['in_noop'],['post_dp'],cifar10,clean,0.9978,0.8465,0.0000,0.7690,0.8465,0.1083,-1.0000,3.58
5213ad567575f1f7,comb_000,['noop'],['in_noop'],['fine pruning'],cifar10,clean,0.9978,0.8465,0.0000,0.7659,0.8465,0.1083,-1.0000,3.61
5213ad567575f1f7,comb_002,['noop'],['in_noop'],['fine pruning', 'post_dp'],cifar10,clean,0.9978,0.8465,0.0000,0.7672,0.8465,0.1083,-1.0000,4.22
5213ad567575f1f7,comb_003,['noop'],['in_noop'],['post_dp', 'fine pruning'],cifar10,clean,0.9978,0.8465,0.0000,0.7642,0.8465,0.1083,-1.0000,4.01
5213ad567575f1f7,comb_008,['pre-squeeze'],['in_noop'],['fine pruning'],cifar10,clean,0.9923,0.8370,0.0010,0.7612,0.8370,0.0965,-1.0000,3.35
5213ad567575f1f7,comb_009,['pre-squeeze'],['in_noop'],['post_dp'],cifar10,clean,0.9923,0.8370,0.0010,0.7599,0.8370,0.0965,-1.0000,2.32
5213ad567575f1f7,comb_011,['pre-squeeze'],['in_noop'],['post_dp', 'fine pruning'],cifar10,clean,0.9923,0.8370,0.0012,0.7632,0.8370,0.0965,-1.0000,3.93
5213ad567575f1f7,comb_040,['pre-squeeze', 'pre-dp'],['in_noop'],['fine pruning'],cifar10,clean,0.0957,0.0961,0.0000,0.5672,0.0961,0.0188,-1.0000,790.58
5213ad567575f1f7,comb_041,['pre-squeeze', 'pre-dp'],['in_noop'],['post_dp'],cifar10,clean,0.0957,0.0961,0.0000,0.5653,0.0961,0.0188,-1.0000,1283.88
5213ad567575f1f7,comb_042,['pre-squeeze', 'pre-dp'],['in_noop'],['fine pruning', 'post_dp'],cifar10,clean,0.0957,0.0961,0.0000,0.5679,0.0961,0.0188,-1.0000,1285.56
5213ad567575f1f7,comb_043,['pre-squeeze', 'pre-dp'],['in_noop'],['post_dp', 'fine pruning'],cifar10,clean,0.0957,0.0961,0.0000,0.5641,0.0961,0.0188,-1.0000,1302.80
5213ad567575f1f7,comb_024,['pre-dp'],['in_noop'],['fine pruning'],cifar10,clean,0.1025,0.1012,0.0000,0.5539,0.1012,0.1203,-1.0000,1751.29
5213ad567575f1f7,comb_025,['pre-dp'],['in_noop'],['post_dp'],cifar10,clean,0.1025,0.1012,0.0000,0.5583,0.1012,0.1203,-1.0000,2220.25
5213ad567575f1f7,comb_026,['pre-dp'],['in_noop'],['fine pruning', 'post_dp'],cifar10,clean,0.1025,0.1012,0.0000,0.5579,0.1012,0.1203,-1.0000,2223.92
5213ad567575f1f7,comb_027,['pre-dp'],['in_noop'],['post_dp', 'fine pruning'],cifar10,clean,0.1025,0.1012,0.0000,0.5568,0.1012,0.1203,-1.0000,2241.22
5213ad567575f1f7,comb_012,['pre-squeeze'],['in-trades'],['fine pruning'],cifar10,clean,0.9999,0.7636,0.3042,0.8277,0.7636,0.1126,-1.0000,6400.99
5213ad567575f1f7,comb_044,['pre-squeeze', 'pre-dp'],['in-trades'],['fine pruning'],cifar10,clean,0.1000,0.1000,0.1000,0.0000,0.1000,1.0000,-1.0000,7131.50
5213ad567575f1f7,comb_014,['pre-squeeze'],['in-trades'],['fine pruning', 'post_dp'],cifar10,clean,0.9999,0.7636,0.3034,0.8251,0.7636,0.1126,-1.0000,8116.45
5213ad567575f1f7,comb_013,['pre-squeeze'],['in-trades'],['post_dp'],cifar10,clean,0.9999,0.7636,0.3029,0.8275,0.7636,0.1126,-1.0000,8006.10
5213ad567575f1f7,comb_047,['pre-squeeze', 'pre-dp'],['in-trades'],['post_dp', 'fine pruning'],cifar10,clean,0.1000,0.1000,0.1000,0.0000,0.1000,1.0000,-1.0000,8286.13
5213ad567575f1f7,comb_015,['pre-squeeze'],['in-trades'],['post_dp', 'fine pruning'],cifar10,clean,0.9999,0.7636,0.3037,0.8259,0.7636,0.1126,-1.0000,8053.50
5213ad567575f1f7,comb_046,['pre-squeeze', 'pre-dp'],['in-trades'],['fine pruning', 'post_dp'],cifar10,clean,0.1000,0.1000,0.1000,0.0000,0.1000,1.0000,-1.0000,8262.49
5213ad567575f1f7,comb_045,['pre-squeeze', 'pre-dp'],['in-trades'],['post_dp'],cifar10,clean,0.1000,0.1000,0.1000,0.0000,0.1000,1.0000,-1.0000,8276.81
5213ad567575f1f7,comb_064,['pre-dp', 'pre-squeeze'],['in_noop'],['fine pruning'],cifar10,clean,0.1238,0.1244,0.0000,0.5442,0.1244,0.0081,-1.0000,9504.60
5213ad567575f1f7,comb_065,['pre-dp', 'pre-squeeze'],['in_noop'],['post_dp'],cifar10,clean,0.1238,0.1244,0.0000,0.5451,0.1244,0.0081,-1.0000,9982.34
5213ad567575f1f7,comb_066,['pre-dp', 'pre-squeeze'],['in_noop'],['fine pruning', 'post_dp'],cifar10,clean,0.1064,0.1053,0.0000,0.6103,0.1053,0.0373,-1.0000,10008.17
5213ad567575f1f7,comb_067,['pre-dp', 'pre-squeeze'],['in_noop'],['post_dp', 'fine pruning'],cifar10,clean,0.1238,0.1244,0.0000,0.5501,0.1244,0.0081,-1.0000,10038.60
