pipeline_id,combination,pre_training,in_training,post_training,dataset_name,dataset_type,acc_train_clean,acc_test_clean,acc_robust,ood_auc,fingerprinting,asr,total_duration
08e4b92f303f606c,comb_000,['noop'],[],[],cifar10,clean,0.9971,0.8464,0.0000,0.7597,0.8464,0.0949,717.85
08e4b92f303f606c,comb_005,['feature-squeeze'],[],['fine pruning'],cifar10,clean,0.9624,0.8034,0.0000,0.7362,0.8034,0.1060,719.87
08e4b92f303f606c,comb_001,['noop'],[],['fine pruning'],cifar10,clean,0.8469,0.7042,0.0000,0.7310,0.7042,0.0250,1412.51
08e4b92f303f606c,comb_004,['feature-squeeze'],[],[],cifar10,clean,0.9921,0.8420,0.0001,0.8725,0.8420,0.1122,1422.06
08e4b92f303f606c,comb_002,['noop'],[],[],cifar10,clean,0.9993,0.7765,0.3101,0.8131,0.7765,0.1022,2499.44
08e4b92f303f606c,comb_003,['noop'],[],['fine pruning'],cifar10,clean,0.9808,0.6990,0.3268,0.8094,0.6990,0.0674,2506.99
08e4b92f303f606c,comb_006,['feature-squeeze'],[],[],cifar10,clean,0.9983,0.7689,0.3149,0.7373,0.7689,0.0921,3605.46
08e4b92f303f606c,comb_007,['feature-squeeze'],[],['fine pruning'],cifar10,clean,0.8124,0.5428,0.2363,0.7804,0.5428,0.0425,3612.59
