pipeline_id,combination,stage,tool_name,cache_key,duration_sec,status,output_path
08e4b92f303f606c,comb_003,pre_training,noop,45e647e647e8ca5a4f1660ba5f12bb7f8941788146a58e371f5156df377dd5e6,3.32,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/45e647e647e8ca5a4f1660ba5f12bb7f8941788146a58e371f5156df377dd5e6/output
08e4b92f303f606c,comb_005,pre_training,feature-squeeze,1637561b71c1ac0829c935ffa84bd9dc7419fcb979a69f081e7b266a9c7ba265,3.34,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/1637561b71c1ac0829c935ffa84bd9dc7419fcb979a69f081e7b266a9c7ba265/output
08e4b92f303f606c,comb_005,during_training,in_noop,cb72183839fa50339c35664a67f65ca84391d3f5a190ad8229578d845fb51326,693.58,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/cb72183839fa50339c35664a67f65ca84391d3f5a190ad8229578d845fb51326/output
08e4b92f303f606c,comb_005,post_training,fine pruning,e081eb6c7f02eef3800bfdcbe23fc1f6f36b04bc71443a4482f474f5b90ef6b5,6.77,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/e081eb6c7f02eef3800bfdcbe23fc1f6f36b04bc71443a4482f474f5b90ef6b5/output
08e4b92f303f606c,comb_001,during_training,in_noop,67d96d2f0a34ba5e0432c767f978ef520307b661fa3b82c6ae9a86475a50097b,1421.62,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/67d96d2f0a34ba5e0432c767f978ef520307b661fa3b82c6ae9a86475a50097b/output
08e4b92f303f606c,comb_004,during_training,in_noop,209b745d55723bf8a071776d1bece549b251acd4614c6107183471f3e6a88876,1422.82,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/209b745d55723bf8a071776d1bece549b251acd4614c6107183471f3e6a88876/output
08e4b92f303f606c,comb_001,post_training,fine pruning,f23d1fa230487d3fe2cd2f8110488f6d359ab4b49667b7fb1bb5f8c8767164da,6.08,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/f23d1fa230487d3fe2cd2f8110488f6d359ab4b49667b7fb1bb5f8c8767164da/output
08e4b92f303f606c,comb_006,during_training,trades,11216cff9618a1236c5207c37f1357335be3ac623ccdae6615381792d9185ed3,2494.08,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/11216cff9618a1236c5207c37f1357335be3ac623ccdae6615381792d9185ed3/output
08e4b92f303f606c,comb_007,post_training,fine pruning,b1f2112bf93a891d2bafc44278b0172c3b409f3f85c6f1d3e15ad512b14c4e7f,6.31,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/b1f2112bf93a891d2bafc44278b0172c3b409f3f85c6f1d3e15ad512b14c4e7f/output
