pipeline_id,combination,pre_training,in_training,post_training,dataset_name,dataset_type,acc_train_clean,acc_test_clean,acc_robust,ood_auc,fingerprinting,asr,total_duration
08e4b92f303f606c,comb_005,['feature-squeeze'],[],['fine pruning'],cifar10,clean,0.9620,0.7964,0.0000,0.7805,0.7964,0.0874,706.10
08e4b92f303f606c,comb_000,['noop'],[],[],cifar10,clean,0.9979,0.8439,0.0000,0.8181,0.8439,0.0934,1426.48
08e4b92f303f606c,comb_004,['feature-squeeze'],[],[],cifar10,clean,0.9892,0.8344,0.0000,0.7467,0.8344,0.1106,1427.80
08e4b92f303f606c,comb_001,['noop'],[],['fine pruning'],cifar10,clean,0.8856,0.7208,0.0000,0.6654,0.7208,0.0567,1433.51
08e4b92f303f606c,comb_006,['feature-squeeze'],[],[],cifar10,clean,0.9987,0.7733,0.3198,0.5338,0.7733,0.1017,2498.96
08e4b92f303f606c,comb_007,['feature-squeeze'],[],['fine pruning'],cifar10,clean,0.7238,0.4799,0.2060,0.3260,0.4799,0.0116,2506.21
