pipeline_id,combination,stage,tool_name,cache_key,duration_sec,status,output_path
5213ad567575f1f7,comb_026,during_training,in-trades,58e3a4c3353b83f912f94e0566803908b242e41ae0241d6e3be88deb45f0664c,0.00,failure,cache/5213ad567575f1f7/301934e1be5dc938c87f7e233338faa42706d1014805baac188751968492aff6/output
5213ad567575f1f7,comb_020,during_training,in_noop,a81c8514c3bc4c6d0f64f18948658b5c064240bd0a980319a5f076e89d14f473,0.00,failure,cache/5213ad567575f1f7/301934e1be5dc938c87f7e233338faa42706d1014805baac188751968492aff6/output
5213ad567575f1f7,comb_024,during_training,in_noop,a81c8514c3bc4c6d0f64f18948658b5c064240bd0a980319a5f076e89d14f473,0.00,failure,cache/5213ad567575f1f7/301934e1be5dc938c87f7e233338faa42706d1014805baac188751968492aff6/output
5213ad567575f1f7,comb_021,during_training,in_noop,a81c8514c3bc4c6d0f64f18948658b5c064240bd0a980319a5f076e89d14f473,0.00,failure,cache/5213ad567575f1f7/301934e1be5dc938c87f7e233338faa42706d1014805baac188751968492aff6/output
5213ad567575f1f7,comb_140,pre_training,pre-squeeze,67b0179ac5cdd582c53d73295eb900e60f6e40b923a641ae3698c1496c3bcc09,3.44,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/67b0179ac5cdd582c53d73295eb900e60f6e40b923a641ae3698c1496c3bcc09/output
5213ad567575f1f7,comb_022,during_training,in_noop,a81c8514c3bc4c6d0f64f18948658b5c064240bd0a980319a5f076e89d14f473,0.00,failure,cache/5213ad567575f1f7/301934e1be5dc938c87f7e233338faa42706d1014805baac188751968492aff6/output
5213ad567575f1f7,comb_018,post_training,post_dp,b2040d7c4a35a69000bbf8501dbbfa2b613d6c7d5c7d72add48667bebdb0ab3e,325.98,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/b2040d7c4a35a69000bbf8501dbbfa2b613d6c7d5c7d72add48667bebdb0ab3e/output
5213ad567575f1f7,comb_023,during_training,in_noop,a81c8514c3bc4c6d0f64f18948658b5c064240bd0a980319a5f076e89d14f473,0.00,failure,cache/5213ad567575f1f7/301934e1be5dc938c87f7e233338faa42706d1014805baac188751968492aff6/output
5213ad567575f1f7,comb_033,post_training,post_dp,f83481c8044fc7df63e54316ff594868db0825de4e6e5a2f8451b95d458dee60,22.33,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/f83481c8044fc7df63e54316ff594868db0825de4e6e5a2f8451b95d458dee60/output
5213ad567575f1f7,comb_065,during_training,in-trades,3d34dbb6847c3292d98d57257d6f3bfeffe1d2e320a1ed81fdfa4c356f132149,0.00,failure,cache/5213ad567575f1f7/d7b3da4388a3d5ada3e9520203cf1c7fdf1874be49fd38476e90eee0bba51af5/output
5213ad567575f1f7,comb_062,during_training,in_noop,1a5be5e2a5e4a6542e905063167c0b178a1806cbe91f99b3972c579fa6189e88,0.00,failure,cache/5213ad567575f1f7/d7b3da4388a3d5ada3e9520203cf1c7fdf1874be49fd38476e90eee0bba51af5/output
5213ad567575f1f7,comb_075,pre_training,pre-dp,2353e3d89caa2b84410d38427729a50117699383146ad45b4697a4d5d8934428,0.00,failure,cache/5213ad567575f1f7/13245ad7aeb4ba5e228dc7abf89a51ad7e8d88fce271069063eedbca28d89d11/output
5213ad567575f1f7,comb_074,pre_training,pre-dp,2353e3d89caa2b84410d38427729a50117699383146ad45b4697a4d5d8934428,0.00,failure,cache/5213ad567575f1f7/13245ad7aeb4ba5e228dc7abf89a51ad7e8d88fce271069063eedbca28d89d11/output
5213ad567575f1f7,comb_070,pre_training,pre-dp,2353e3d89caa2b84410d38427729a50117699383146ad45b4697a4d5d8934428,0.00,failure,cache/5213ad567575f1f7/13245ad7aeb4ba5e228dc7abf89a51ad7e8d88fce271069063eedbca28d89d11/output
5213ad567575f1f7,comb_071,pre_training,pre-dp,2353e3d89caa2b84410d38427729a50117699383146ad45b4697a4d5d8934428,0.00,failure,cache/5213ad567575f1f7/13245ad7aeb4ba5e228dc7abf89a51ad7e8d88fce271069063eedbca28d89d11/output
5213ad567575f1f7,comb_073,pre_training,pre-dp,2353e3d89caa2b84410d38427729a50117699383146ad45b4697a4d5d8934428,0.00,failure,cache/5213ad567575f1f7/13245ad7aeb4ba5e228dc7abf89a51ad7e8d88fce271069063eedbca28d89d11/output
5213ad567575f1f7,comb_066,during_training,in-trades,3d34dbb6847c3292d98d57257d6f3bfeffe1d2e320a1ed81fdfa4c356f132149,0.00,failure,cache/5213ad567575f1f7/d7b3da4388a3d5ada3e9520203cf1c7fdf1874be49fd38476e90eee0bba51af5/output
5213ad567575f1f7,comb_120,pre_training,pre-squeeze,a9acb891c589decf05e12c11631f307fcf5583d460d7db9f76299ff5584fcd84,0.00,failure,cache/5213ad567575f1f7/9cdad3740a2670e1ab0ed385894ed5d9c04ada82e5c815dc391b80dd3ff8e717/output
5213ad567575f1f7,comb_135,pre_training,pre-dp,df7b14020bc0568f3681b29ab1db0154c4e35706fa495da11cdb6557f78a2996,0.00,failure,cache/5213ad567575f1f7/df00e1902a4b082bb29a81f3499aa6837b8543bcab7eb218306d999a8daa77ca/output
5213ad567575f1f7,comb_125,pre_training,pre-squeeze,a9acb891c589decf05e12c11631f307fcf5583d460d7db9f76299ff5584fcd84,0.70,success,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/a9acb891c589decf05e12c11631f307fcf5583d460d7db9f76299ff5584fcd84/output
5213ad567575f1f7,comb_139,pre_training,pre-dp,df7b14020bc0568f3681b29ab1db0154c4e35706fa495da11cdb6557f78a2996,0.00,failure,cache/5213ad567575f1f7/df00e1902a4b082bb29a81f3499aa6837b8543bcab7eb218306d999a8daa77ca/output
5213ad567575f1f7,comb_125,pre_training,pre-dp,0b75aa9fcb74140c4ecbc106c2862cf2f6b81e9488faa06652514e8d161f2c2c,0.00,failure,/share/landseer/workspace-ayushi/Landseer/cache/5213ad567575f1f7/a9acb891c589decf05e12c11631f307fcf5583d460d7db9f76299ff5584fcd84/output
5213ad567575f1f7,comb_134,pre_training,pre-dp,df7b14020bc0568f3681b29ab1db0154c4e35706fa495da11cdb6557f78a2996,0.00,failure,cache/5213ad567575f1f7/df00e1902a4b082bb29a81f3499aa6837b8543bcab7eb218306d999a8daa77ca/output
5213ad567575f1f7,comb_132,pre_training,pre-dp,df7b14020bc0568f3681b29ab1db0154c4e35706fa495da11cdb6557f78a2996,0.00,failure,cache/5213ad567575f1f7/df00e1902a4b082bb29a81f3499aa6837b8543bcab7eb218306d999a8daa77ca/output
5213ad567575f1f7,comb_133,pre_training,pre-dp,df7b14020bc0568f3681b29ab1db0154c4e35706fa495da11cdb6557f78a2996,0.00,failure,cache/5213ad567575f1f7/df00e1902a4b082bb29a81f3499aa6837b8543bcab7eb218306d999a8daa77ca/output
5213ad567575f1f7,comb_127,pre_training,pre-dp,548b254ea21bd03d2f85dafbcd583a1b3e9ddbc9c095b8451a37baa3d475cce7,0.00,failure,cache/5213ad567575f1f7/a9acb891c589decf05e12c11631f307fcf5583d460d7db9f76299ff5584fcd84/output
5213ad567575f1f7,comb_122,pre_training,pre-dp,548b254ea21bd03d2f85dafbcd583a1b3e9ddbc9c095b8451a37baa3d475cce7,0.00,failure,cache/5213ad567575f1f7/a9acb891c589decf05e12c11631f307fcf5583d460d7db9f76299ff5584fcd84/output
5213ad567575f1f7,comb_129,pre_training,pre-dp,548b254ea21bd03d2f85dafbcd583a1b3e9ddbc9c095b8451a37baa3d475cce7,0.00,failure,cache/5213ad567575f1f7/a9acb891c589decf05e12c11631f307fcf5583d460d7db9f76299ff5584fcd84/output
