pipeline_id,combination,pre_training,in_training,post_training,dataset_name,dataset_type,acc_train_clean,acc_test_clean,acc_robust,ood_auc,fingerprinting,asr,total_duration
08e4b92f303f606c,comb_004,['feature-squeeze'],[],[],cifar10,clean,0.8609,0.6749,0.0000,0.5210,0.6749,0.1256,97.91
08e4b92f303f606c,comb_000,['noop'],[],[],cifar10,clean,0.9349,0.6847,0.0000,0.5694,0.6847,0.1046,122.47
08e4b92f303f606c,comb_001,['noop'],[],['fine pruning'],cifar10,clean,0.2093,0.2043,0.0000,0.0736,0.2043,0.0000,127.26
08e4b92f303f606c,comb_005,['feature-squeeze'],[],['fine pruning'],cifar10,clean,0.1883,0.1848,0.0000,0.3020,0.1848,0.0007,163.52
08e4b92f303f606c,comb_006,['feature-squeeze'],[],[],cifar10,clean,0.6552,0.6183,0.1825,0.6780,0.6183,0.0975,220.45
08e4b92f303f606c,comb_002,['noop'],[],[],cifar10,clean,0.6672,0.6306,0.1644,0.9167,0.6306,0.0952,224.99
08e4b92f303f606c,comb_007,['feature-squeeze'],[],['fine pruning'],cifar10,clean,0.2753,0.2738,0.1384,0.4399,0.2738,0.0685,226.96
08e4b92f303f606c,comb_003,['noop'],[],['fine pruning'],cifar10,clean,0.2019,0.1988,0.1202,0.0760,0.1988,0.0107,230.43
