pipeline_id,combination,stage,tool_name,cache_key,duration_sec,status,output_path
08e4b92f303f606c,comb_000,pre_training,noop,ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b,4.63,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b/output
08e4b92f303f606c,comb_004,pre_training,feature-squeeze,80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483,4.64,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483/output
08e4b92f303f606c,comb_004,during_training,in_noop,53c1c16debcea1c6534212a4481633958fe14d2ce93b0aaa2450aa760c44176c,91.80,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/53c1c16debcea1c6534212a4481633958fe14d2ce93b0aaa2450aa760c44176c/output
08e4b92f303f606c,comb_000,during_training,in_noop,b70b8b723e36dbc4527d4211023f78c1fa19d03abae77de49c784fc1c569b06c,116.37,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/b70b8b723e36dbc4527d4211023f78c1fa19d03abae77de49c784fc1c569b06c/output
08e4b92f303f606c,comb_001,during_training,in_noop,71e49558feab130f3e0acf48d1430e2c0c030776b50377349ce17a193ac389e6,116.36,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/71e49558feab130f3e0acf48d1430e2c0c030776b50377349ce17a193ac389e6/output
08e4b92f303f606c,comb_001,post_training,fine pruning,db221a51d9d60ec1679830a5af54b939b830fdd7a90683f1400b9a0be344beb4,3.76,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/db221a51d9d60ec1679830a5af54b939b830fdd7a90683f1400b9a0be344beb4/output
08e4b92f303f606c,comb_005,during_training,in_noop,9c421e815cd4818d6932eed0f22caffd25e35b82e3a67ae73c392e89109c049c,153.62,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/9c421e815cd4818d6932eed0f22caffd25e35b82e3a67ae73c392e89109c049c/output
08e4b92f303f606c,comb_005,post_training,fine pruning,6655c86fd7e4c4586a429bca3469a3c70fab4896cb0f4483d8d9fa0651a17cdd,2.93,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/6655c86fd7e4c4586a429bca3469a3c70fab4896cb0f4483d8d9fa0651a17cdd/output
08e4b92f303f606c,comb_006,during_training,trades,73869877aa0625746a77ab49ee83d81f767d317c00b8e7ac85c83f5f5e8c3a2b,214.31,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/73869877aa0625746a77ab49ee83d81f767d317c00b8e7ac85c83f5f5e8c3a2b/output
08e4b92f303f606c,comb_002,during_training,trades,f9feb41bcc21785081ab8c86b7edd9cd3b83630b996d1167c865d4acce75533d,218.89,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/f9feb41bcc21785081ab8c86b7edd9cd3b83630b996d1167c865d4acce75533d/output
08e4b92f303f606c,comb_007,post_training,fine pruning,78733cb786cda22e9756c990dfdd5f93fe49f1850bae5419377c9ad8651c9691,5.72,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/78733cb786cda22e9756c990dfdd5f93fe49f1850bae5419377c9ad8651c9691/output
08e4b92f303f606c,comb_003,post_training,fine pruning,c56263af04ea0ec5e15ed2361e062fe6f0df2c4e2d97160e9fcbfa73155bd9db,4.65,success,/share/landseer/workspace-ayushi/Landseer/cache/08e4b92f303f606c/c56263af04ea0ec5e15ed2361e062fe6f0df2c4e2d97160e9fcbfa73155bd9db/output
